File Name,Answer,Original Decision
1 McDonald's.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
3 KFC.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
4 Burger King.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
5 Ace Hardware.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
6 Chick-fil-A.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
7 Subway.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
8 Domino's.pdf-all_items_item_12.txt,You will not receive an exclusive territory under the development agreement,No
9 Circle K.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
10 Taco Bell.pdf-all_items_item_12.txt,You will not receive an exclusive territory under the license agreement,No
11 Wendy's.pdf-all_items_item_12.txt,You will not receive an exclusive development area,No
12 Pizza Hut.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
13 REMAX.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
14 Dunkin'.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
15 Keller Williams.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
16 Tim Hortons.pdf-all_items_item_12.txt,We will not grant you a territory,No
17 Panera Bread.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
18 Popeyes Louisiana Kitchen.pdf-all_items_item_12.txt,You will not receive an exclusive territory under the franchise agreement,No
19 Dairy Queen.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
20 Sonic Drive-In.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
21 Little Caesars.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
22 Papa John's.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
23 Arby's.PDF-all_items_item_12.txt,You will not receive an exclusive territory,No
24 Applebees.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
25 Express Employment Professionals.pdf-all_items_item_12.txt,"Under the franchise agreement, you are granted an exclusive territory",Yes
26 Chili's.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
27 Jack In The Box.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
28 Buffalo Wild Wings.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
29 Planet Fitness.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
30 Berkshire Hathaway.pdf-all_items_item_12.txt,Does not grant you an exclusive territory,No
31 The UPS Store.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
32 Servpro.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
33 IHOP.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
35 Five Guys.pdf-all_items_item_12.txt,"In the event your primary area of responsibility is limited to only the specific physical space occupied by the restaurant, you will not be receiving an exclusive territory",No
36 Denny's.pdf-all_items_item_12.txt,You do not receive any exclusive territory or the territorial rights under the franchise agree-ment,No
37 Culver's.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
38 Wingstop.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
39 Jersey Mikes.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
40 Paris Baguette.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
41 Hardee's.pdf-all_items_item_12.txt,You will not receive an exclusive territory under the development agreement,No
42 Jimmy John's.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
43 Vavoline Instant Oil Change.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
44 Home Instead.pdf-all_items_item_12.txt,Protected areas of home,Yes
45 Zaxbys.pdf-all_items_item_12.txt,You will not receive an exclusive territory under the development agreement,No
46 Carl's Jr..pdf-all_items_item_12.txt,You will not receive any exclusive territory under the franchise agreement,No
47 Baskin Robbins.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
49 Snap-On Tools.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
50 Anytime Fitness.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
51 Jiffy Lube.pdf-all_items_item_12.txt,You may apply for a new franchise within your exclusive area,Yes
52 Midas.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
54 Homevesters.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No
